,trade_date,open,high,low,close,vol
29,20171120,676.8,685.6,660,679.15,88305.82
28,20171121,669,688.8,662.02,677.25,96016.51
27,20171122,677,688,650,650.52,128498.26
26,20171123,642,646,630.22,633.73,109599.13
25,20171124,635.9,642.5,622.23,630.04,76541.94
24,20171127,634,636.33,613.01,621.29,63548.46
23,20171128,625.06,648.88,624,648.23,70291.83
22,20171129,649.94,651.97,634.01,638.12,46763.72
21,20171130,635.51,648.48,626,631,38019.62
20,20171201,638.01,638.99,620.13,622.35,47192.74
19,20171204,623.95,644.1,616.72,637.79,54267.71
18,20171205,634,647.4,630.13,632.96,47465.76
17,20171206,631.5,644.1,620,625.01,58174.09
16,20171207,624.95,624.99,615.26,616.69,51032.62
15,20171208,615.42,628.85,615.42,627.28,45503.39
14,20171211,631,651.95,631,650.99,72849.17
13,20171212,658.7,658.77,651.02,651.32,47889.31
12,20171213,654.99,670,650.72,668.21,48502.48
11,20171214,669.98,671.3,660.5,664.55,31967.94
10,20171215,664,667.95,650.78,653.79,32255.95
9,20171218,660,669.8,658.58,665.77,39162.28
8,20171219,663,672.44,661,667.09,44072.21
7,20171220,669.9,686.86,664.03,684.91,63601.31
6,20171221,683,687.42,675.5,681.74,46680.38
5,20171222,680,685.9,677.01,682.92,28317.01
4,20171225,686,696.3,683.72,688.12,36214.28
3,20171226,688.18,692.99,676.5,680.81,31867.66
2,20171227,684.86,684.86,662.5,664.18,37722.05
1,20171228,687,719.9,671.32,718.69,124141.07
0,20171229,718,726.5,691.6,697.49,76038.87
